OTU.ID	N1.Rhizo	N10.Rhizo	N11.Rhizo	N12.Rhizo	N13.Rhizo	N14.Rhizo	N15.Rhizo	N16.Rhizo	N17.Rhizo	N18.Rhizo	N19.Rhizo	N2.Rhizo	N20.Rhizo	N21.Rhizo	N22.Rhizo	N23.Rhizo	N24.Rhizo	N25.Rhizo	N26.Rhizo	N27.Rhizo	N28.Rhizo	N29.Rhizo	N3.Rhizo	N30.Rhizo	N31.Rhizo	N32.Rhizo	N33.Rhizo	N34.Rhizo	N35.Rhizo	N36.Rhizo	N37.Rhizo	N38.Rhizo	N39.Rhizo	N4.Rhizo	N40.Rhizo	N41.Rhizo	N42.Rhizo	N43.Rhizo	N44.Rhizo	N45.Rhizo	N46.Rhizo	N47.Rhizo	N48.Rhizo	N49.Rhizo	N5.Rhizo	N50.Rhizo	N51.Rhizo	N52.Rhizo	N53.Rhizo	N54.Rhizo	N55.Rhizo	N56.Rhizo	N57.Rhizo	N58.Rhizo	N59.Rhizo	N6.Rhizo	N60.Rhizo	N61.Rhizo	N62.Rhizo	N63.Rhizo	N64.Rhizo	N65.Rhizo	N66.Rhizo	N67.Rhizo	N68.Rhizo	N7.Rhizo	N8.Rhizo	N9.Rhizo
ASV10052	0	0	2	1	0	1	0	0	0	0	0	5	4	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	3	0	1	1	1	2	0	0	0	6	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	6	0	0	4	2	0	0	1	0	0	0	0	0
ASV10053	3	0	2	2	0	1	1	2	0	3	1	2	0	0	0	2	0	6	1	0	2	2	2	0	2	0	0	0	0	3	0	1	2	0	0	1	0	1	1	0	1	0	1	0	1	2	1	2	0	0	0	0	1	0	0	3	1	1	1	2	0	1	1	0	1	2	1	1
ASV10054	0	6	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	4	0	4	0	0	0	0	1	0	5	0	2	5	0	0	0	1	2	0	0	2	0	0	2	0	0	1	2	0	0	5	0
ASV10055	1	0	0	0	0	0	0	1	0	2	0	1	3	0	0	0	1	1	0	5	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	4	1	0	0	0	1	0	0	0	2	0	2	10	0	0	0	0	0	0	0	1	0	0	1	5	0	0	1
ASV10056	2	1	0	1	4	4	2	1	5	0	3	1	1	2	0	0	0	1	2	0	0	2	3	0	0	0	0	1	2	1	0	4	0	2	2	0	0	0	1	1	0	2	1	3	1	0	0	0	2	0	0	0	0	3	1	2	1	0	1	1	0	2	2	2	2	0	0	2
ASV10057	0	0	2	5	0	0	3	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	2	2	0	1	2	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0
ASV10058	0	0	3	3	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	2	1	4	1	2	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV10059	0	1	5	0	0	2	1	1	1	0	4	3	4	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	2	0	2	2	0	0	2	4	0	2	0	3	6	11	0	0	0	0	0	0	2	2	0	1	0	2	0	3	0	0	2	2
ASV1006	9	8	9	10	12	16	19	20	20	19	10	2	9	10	20	14	9	31	19	17	13	15	16	10	12	16	18	7	15	6	20	12	21	18	13	15	14	18	14	22	10	8	20	14	11	3	1	21	6	22	0	6	13	11	7	11	5	9	10	10	21	11	14	9	8	12	5	5
ASV10060	7	1	0	2	0	1	3	0	3	0	2	3	2	2	0	0	0	2	0	1	1	0	0	3	0	1	0	0	5	2	0	1	0	2	0	0	0	0	0	4	1	0	0	0	0	1	0	0	4	1	0	4	0	0	2	3	2	0	0	0	0	2	0	4	0	1	1	0
ASV10061	2	3	0	0	3	1	0	0	0	0	0	6	1	2	0	0	1	2	0	0	1	0	0	2	1	0	0	2	4	0	0	0	1	2	0	1	6	2	0	2	0	2	1	0	0	1	0	0	2	0	0	2	1	0	2	0	0	0	0	0	0	0	3	0	3	0	0	2
ASV10062	1	1	0	4	1	2	0	0	2	1	1	1	3	1	1	2	1	2	1	1	5	2	0	1	1	1	4	0	0	3	1	0	1	0	1	2	0	2	2	0	1	4	0	0	2	0	1	1	3	1	0	1	1	2	1	5	0	1	1	3	0	0	1	1	2	0	2	2
ASV10063	0	0	0	0	0	0	1	3	0	2	0	0	0	0	5	3	0	2	0	1	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	7	0	0	0	0	10	0	0	0	0	1	3	0	0	0	2	3	0	0	2	0	0	0	0	0	0
ASV10064	1	0	1	1	1	0	0	0	0	0	1	0	1	0	3	0	1	0	5	0	2	0	1	1	0	0	1	0	0	1	0	1	1	1	0	2	0	0	0	2	1	2	0	1	0	1	1	0	1	0	1	0	0	3	0	0	0	1	1	0	0	0	1	0	2	1	0	0
ASV10065	0	0	0	0	2	0	0	4	0	0	0	2	0	1	0	2	0	0	2	1	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	3	1	3	0	0	0	0	1	0
ASV10066	0	1	0	0	0	0	0	0	0	2	0	1	0	0	2	3	0	2	0	0	1	1	2	0	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	2	27	0	4	0	3	0	0	0	0	1	0	0	0	7	0	0	2	0	1	1	0	0	0	1
ASV10067	1	2	0	0	3	2	1	0	1	0	1	3	2	1	1	0	0	1	0	1	1	1	1	4	0	3	1	3	4	1	0	2	1	4	2	0	1	1	1	2	1	0	0	1	0	1	1	0	2	1	0	3	2	1	0	2	2	1	0	1	0	1	1	10	2	0	0	0
ASV10068	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	1	0	2	0	2	1	1	1	0	2	0	0	0	0	2	0	0	3	0	0	1	1	1	0	3	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	3	0
ASV10069	0	0	3	1	0	0	0	0	0	0	0	1	3	3	1	0	1	1	1	0	0	0	3	0	0	3	3	1	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	5	0	0	0	0	0	3	0	1	0	2	2	0	0	3	2	2	0	1	0
ASV1007	7	10	22	12	16	12	13	25	13	27	15	21	13	12	4	18	5	22	21	17	9	25	15	14	17	7	10	5	10	10	14	6	2	11	1	1	1	11	20	9	1	13	1	8	7	20	9	0	26	1	1	14	9	13	10	7	18	17	7	4	3	11	11	15	16	8	14	20
ASV10070	0	4	1	0	0	1	4	1	0	0	0	2	0	0	1	2	1	3	1	1	0	0	2	2	1	2	2	1	1	0	1	0	0	0	2	0	0	0	1	1	0	2	0	0	1	0	2	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	6	0	0	0	0	0
ASV10071	0	0	0	0	0	1	2	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	0	0	30	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	1	4	0	0	0	0	1	0	2	0	0	2	0	1	0	0
ASV10072	0	1	0	0	1	0	0	0	2	1	0	2	1	1	0	1	0	3	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	1	0	2	0	0	1	0	1	0	1	2	2	2	3	4	2	0	0	1	0	0	1	0	1	3	0	4	0	0	3	2	1	0	1	0
